,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
198,0.02,0.57,0.73,0.75,0.45,0.94,0.66,0.39,0.8,0.98,0.26,0.99,0.73,0.03,0.09,0.7,0.41
199,0.16,0.71,0.52,0.98,0.04,0.79,0.46,0.53,0.45,0.94,0.48,0.31,0.59,0.11,0.82,0.03,0.83
200,0.58,0.54,0.77,0.38,0.5,0.38,0.7,0.55,0.71,0.9,0.25,0.97,0.68,0.56,0.34,0.19,0.2
201,0.32,0.27,0.95,0.45,0.86,0.85,0.25,0.96,0.89,0.71,0.55,0.33,0.28,0.32,0.89,0.89,0.82
202,0.41,0.79,0.87,0.4,0.45,0.91,0.14,0.5,0.61,0.12,0.5,0.31,0.09,0.38,0.9,0.99,0.63
203,0.64,0.13,0.98,0.96,0.36,0.66,0.07,0.92,0.36,0.38,0.52,0.88,0.56,0.17,0.13,0.8,0.94
204,0.09,0.83,0.52,0.81,0.72,0.7,0.16,0.89,0.08,0.89,0.88,0.17,0.8,0.84,0.37,0.57,0.31
205,0.16,0.87,0.95,0.99,0.97,0.51,0.95,0.5,0.43,0.38,0.24,0.18,0.65,0.04,0.99,0.83,0.79
206,0.31,0.39,0.61,0.11,0.15,0.5,0.49,0.85,0.67,0.77,0.76,0.28,0.39,0.42,0.47,0.71,0.02
207,0.89,0.63,0.15,0.81,0.98,0.82,0.73,0.29,0.11,0.64,0.66,0.64,0.12,0.78,0.27,0.83,0.48
208,0.03,0.31,0.71,0.2,0.31,0.3,0.1,0.05,0.66,0.59,0.6,0.46,0.68,0.54,0.49,0.94,0.76
209,0.93,0.61,0.7,0.48,0.14,0.53,0.68,0.68,0.98,0.87,0.9,0.98,0.62,0.25,0.72,0.83,0.81
210,0.79,0.3,0.96,0.97,0.45,0.92,0.66,0.59,0.89,0.35,0.46,0.27,0.6,0.5,0.61,0.93,0.62
211,0.66,0.77,0.29,0.17,0.89,0.46,0.04,0.03,0.65,0.92,0.19,0.96,0.59,0.0,0.68,0.13,1.0
212,0.81,0.18,0.68,0.55,0.39,0.95,0.93,0.49,0.87,0.25,0.88,0.15,0.64,1.0,0.58,0.56,0.44
213,0.09,0.67,0.29,0.94,0.45,0.44,0.13,0.13,0.76,0.42,0.52,0.67,0.73,0.09,0.42,0.03,0.47
214,0.72,0.15,0.53,0.6,0.12,0.12,0.94,0.42,0.53,0.43,0.39,0.86,0.11,0.73,0.57,0.36,0.44
215,0.42,0.42,0.83,0.43,0.96,0.76,0.84,0.08,0.11,0.48,0.44,0.96,0.38,0.31,0.65,0.67,0.53
216,0.3,0.04,0.29,0.16,0.77,0.83,0.81,0.7,0.69,0.91,0.13,0.97,0.72,0.43,0.33,0.2,0.58
217,0.08,0.28,0.07,0.33,0.86,0.55,0.3,0.35,0.45,0.17,0.08,0.1,0.43,0.92,0.48,0.62,0.36
218,0.61,0.23,0.58,0.61,0.47,0.44,0.94,0.46,0.18,0.05,0.27,0.89,0.24,0.95,0.65,0.52,0.81
219,0.48,0.48,0.96,0.77,0.03,0.44,0.34,0.03,0.57,0.1,0.04,0.51,0.04,0.7,0.65,0.04,0.01
220,0.94,0.55,0.47,0.23,0.68,0.06,0.91,0.02,0.16,0.87,0.81,0.89,0.12,0.08,0.58,0.0,0.26
221,0.68,0.79,0.89,0.54,0.45,0.39,0.22,0.85,0.19,0.54,0.16,0.59,0.22,0.5,0.16,0.53,0.43
222,0.9,0.96,0.33,0.29,0.92,0.62,0.7,0.65,0.01,0.16,0.37,0.19,0.25,0.62,0.94,0.58,0.61
223,0.81,0.21,0.67,0.64,0.66,0.89,0.47,0.06,0.54,0.36,0.12,0.15,0.21,0.66,0.11,0.35,0.8
224,0.82,0.57,0.58,0.04,0.93,0.36,0.3,0.07,0.0,0.06,0.35,0.94,0.75,0.61,0.4,0.74,0.03
225,0.19,0.77,0.94,0.25,0.84,0.88,0.92,0.37,0.76,0.45,0.91,0.27,0.77,0.65,0.57,0.95,0.88
226,0.94,0.18,0.42,0.14,0.09,0.08,0.37,0.97,0.14,0.53,0.44,0.76,0.53,0.98,0.26,0.45,0.95
227,0.99,0.51,0.21,0.02,0.4,0.1,0.97,0.17,0.86,0.8,0.26,0.62,0.73,0.28,0.49,0.93,0.42
228,0.3,0.15,0.1,0.28,0.43,0.62,0.63,0.07,0.9,0.48,0.14,0.78,0.68,0.66,0.15,0.98,0.58
229,0.24,0.48,0.47,0.77,0.74,0.69,0.85,0.82,0.65,0.09,0.95,0.6,0.12,0.46,0.14,0.18,0.73
230,0.33,0.24,0.81,0.24,0.05,0.6,0.04,0.14,0.12,0.06,0.75,0.55,0.56,1.0,0.21,0.29,0.84
231,0.98,0.0,1.0,0.16,0.16,0.95,0.38,0.1,0.25,0.45,0.56,0.85,0.81,0.21,0.76,0.37,0.06
232,0.32,0.15,0.71,0.69,0.04,0.52,0.4,1.0,0.38,0.42,0.87,0.71,0.92,0.11,0.73,0.48,0.31
233,0.16,0.34,0.81,0.04,0.95,0.57,0.59,0.99,0.97,0.99,0.97,0.37,0.79,0.12,1.0,0.97,0.82
234,0.29,0.48,0.49,0.94,0.89,0.49,0.36,0.67,0.52,0.01,0.59,0.85,0.85,0.86,0.79,0.69,0.99
235,0.25,0.99,0.88,0.76,0.65,0.23,0.37,0.18,0.22,0.26,0.21,0.37,0.94,0.55,0.87,0.45,0.89
236,0.18,0.99,0.54,0.08,0.86,0.98,0.77,0.56,0.22,0.19,0.02,0.76,0.19,0.74,0.32,0.64,0.2
237,0.18,0.83,0.54,0.82,0.09,0.93,0.67,0.81,0.52,0.52,0.2,0.82,0.57,0.9,0.97,0.07,0.07
238,0.65,0.43,0.43,0.41,0.3,0.87,0.97,0.24,0.03,0.41,0.61,0.24,0.77,0.67,0.35,0.41,0.77
239,0.92,0.27,0.31,0.98,0.9,0.31,0.91,0.79,0.09,0.88,0.76,1.0,0.71,0.65,1.0,0.29,0.71
240,0.14,0.77,0.9,0.43,0.16,0.01,0.06,0.62,0.11,0.58,0.03,0.84,0.88,0.23,0.26,0.27,0.69
241,0.01,0.89,0.92,0.52,0.65,0.51,0.35,0.35,0.07,0.65,0.31,0.78,0.18,0.49,0.51,0.61,0.61
242,0.17,0.19,0.95,0.52,0.18,0.96,0.63,0.1,0.11,0.22,0.16,0.71,0.66,0.41,0.69,0.88,0.47
243,0.36,0.96,0.66,0.19,0.39,0.22,0.94,0.71,0.47,0.66,0.21,0.16,0.03,0.19,0.41,0.7,0.31
244,0.44,0.33,0.99,0.91,0.52,0.58,0.32,0.37,0.28,0.9,0.45,0.03,0.61,0.49,0.34,0.25,0.29
245,0.75,0.75,0.73,0.79,0.99,0.96,0.2,0.78,0.29,0.95,0.24,0.38,0.98,0.54,0.66,0.14,0.25
246,0.21,0.92,0.63,0.29,0.38,0.84,0.06,0.13,0.41,0.58,0.24,0.16,0.49,0.62,0.44,0.14,0.18
247,0.47,0.65,0.03,0.23,0.65,0.85,0.95,0.46,0.24,0.52,0.72,0.35,0.79,0.65,0.11,0.86,0.86
248,0.7,0.5,0.45,0.81,0.73,0.35,0.05,0.97,0.88,0.21,0.28,0.63,0.21,0.59,0.78,0.54,0.49
249,0.14,0.91,0.85,0.7,0.86,0.93,0.57,0.87,0.32,0.81,0.91,0.72,0.72,0.1,0.49,0.04,0.73
250,0.61,1.0,0.91,0.64,0.16,0.82,0.49,0.0,0.43,0.51,0.41,0.52,0.11,0.19,0.95,0.06,0.07
251,0.12,0.48,0.39,0.39,0.52,0.44,0.69,0.53,0.7,0.54,0.4,0.7,0.38,0.75,0.95,0.06,0.41
252,0.06,0.73,0.73,0.37,0.7,0.95,0.21,0.73,0.96,0.53,0.91,0.24,0.11,0.81,0.49,0.35,0.46
253,0.49,0.06,0.37,0.36,0.52,0.44,0.05,0.32,0.06,0.01,0.32,0.67,0.79,0.86,0.39,0.16,0.06
254,0.95,0.04,0.26,0.02,0.45,0.69,0.21,0.84,0.27,0.14,0.3,0.15,0.49,0.12,0.8,0.93,0.07
255,0.9,0.85,0.54,0.31,0.73,0.09,0.35,0.6,0.25,0.94,0.26,0.54,0.06,0.83,0.79,0.84,0.04
256,0.85,0.55,0.47,0.16,0.82,0.17,0.42,0.45,0.44,0.63,0.27,0.7,0.5,0.01,0.17,0.39,0.21
257,0.68,0.7,0.29,0.37,0.13,0.15,0.42,0.17,0.65,0.79,0.34,0.66,0.39,0.06,0.49,0.91,0.64
258,0.03,0.52,0.75,0.59,0.34,0.55,0.63,0.31,0.61,0.27,0.18,0.79,0.23,0.16,0.59,0.81,0.89
259,0.27,0.76,0.73,0.35,0.71,0.4,0.91,0.1,0.27,0.2,0.26,0.95,0.73,0.73,0.5,0.54,0.01
260,0.56,0.58,0.58,0.9,0.07,0.72,0.05,0.59,0.17,0.96,0.69,0.01,0.91,0.41,0.39,0.18,0.27
261,0.93,0.28,0.1,0.09,0.1,0.93,0.83,0.57,0.84,0.79,0.82,0.69,0.18,0.41,0.48,0.13,0.24
262,0.58,0.44,0.76,0.03,0.89,0.96,0.9,0.45,0.59,0.05,0.64,0.65,0.54,0.34,0.05,0.07,0.91
263,0.83,0.7,0.33,0.92,0.42,0.39,0.48,0.89,0.64,0.53,0.28,0.17,0.05,0.59,0.56,0.58,0.82
264,0.28,0.04,0.56,0.8,0.31,0.69,0.3,0.8,0.13,0.58,0.52,0.22,0.1,0.66,0.64,0.75,0.8
265,0.76,0.62,0.06,0.2,0.3,0.56,0.11,0.92,0.23,0.82,0.84,0.92,0.36,0.88,0.4,0.56,0.04
266,0.28,0.53,0.36,0.18,0.76,0.48,0.91,0.17,0.71,0.97,0.17,0.64,0.5,0.5,0.72,0.88,0.82
267,0.63,0.96,0.84,0.18,0.98,0.74,0.73,0.38,0.53,0.58,0.32,0.46,0.27,0.41,0.35,0.43,0.05
268,0.52,0.77,0.37,0.7,0.19,0.69,0.47,0.1,0.33,0.35,0.8,0.04,0.66,0.96,0.96,0.67,0.49
269,0.06,0.87,0.11,0.07,0.49,0.8,0.26,0.86,0.15,0.61,0.12,0.34,0.25,0.07,0.76,0.79,0.37
270,0.93,0.28,0.53,0.38,0.46,0.8,0.8,0.81,0.36,0.12,0.65,0.61,0.59,0.79,0.74,0.39,0.85
271,0.03,0.78,0.36,0.97,0.53,0.7,0.37,0.66,0.4,0.79,0.71,0.58,0.76,0.59,0.21,0.1,0.23
272,0.44,0.74,0.24,0.51,0.17,0.59,0.08,0.44,0.66,0.46,0.33,0.8,0.26,0.09,0.42,0.07,0.78
273,0.14,0.12,0.12,0.78,0.27,0.25,0.58,0.83,0.17,0.93,0.99,0.43,0.92,0.31,0.9,0.58,0.74
274,0.26,0.49,0.35,0.36,0.05,0.4,0.27,0.46,0.73,0.87,0.78,0.32,0.22,0.52,0.8,0.79,0.34
275,0.63,0.61,0.72,0.87,0.45,0.47,0.42,0.84,0.86,0.22,0.36,0.78,0.39,0.02,0.97,0.13,0.96
276,0.63,0.24,0.83,0.4,0.44,0.8,0.48,0.93,0.63,0.44,0.42,0.96,0.42,0.73,0.52,0.51,0.2
277,0.75,0.7,0.62,0.74,0.01,0.32,0.74,0.76,0.25,0.86,0.13,0.23,0.36,0.63,0.79,0.9,0.25
278,0.45,0.66,0.65,0.56,0.63,0.04,0.16,0.7,0.47,0.39,0.99,0.47,0.34,0.63,0.41,0.25,0.21
279,0.41,0.66,0.44,0.04,0.47,0.85,0.44,0.05,0.62,0.78,0.07,0.87,0.0,0.88,0.52,0.63,0.08
280,0.07,0.41,0.45,0.59,0.15,0.27,0.78,0.51,0.91,0.5,0.02,0.75,0.9,0.9,0.43,0.68,0.71
281,0.42,0.84,0.36,0.38,0.44,0.46,0.68,0.29,0.17,0.45,0.58,0.15,0.61,0.06,0.99,0.77,0.87
282,0.14,0.76,0.57,0.73,0.06,0.34,0.65,0.08,0.5,0.1,0.94,0.51,1.0,0.86,0.72,0.82,0.32
283,0.6,0.25,0.38,0.35,0.01,0.04,0.7,0.85,0.91,0.3,0.97,0.58,0.66,0.82,0.02,1.0,0.17
284,0.75,0.81,0.52,0.69,0.11,0.72,0.55,0.29,0.42,0.42,0.78,0.22,0.74,0.53,0.44,0.84,0.69
285,0.41,0.78,0.75,0.84,0.0,0.1,0.83,0.31,0.03,0.26,0.84,0.4,0.88,0.72,0.61,0.04,0.07
286,0.2,0.63,0.11,0.93,0.34,0.91,0.6,0.31,0.89,0.04,0.18,0.23,0.97,0.24,0.6,0.68,0.36
287,0.79,0.07,0.73,0.79,0.57,0.5,0.95,0.3,0.22,0.52,0.79,0.84,0.43,0.33,0.61,0.1,0.83
288,0.96,0.45,0.24,0.4,0.09,0.31,0.41,0.05,0.36,0.11,0.08,0.31,0.76,0.16,0.15,0.75,0.24
289,0.29,0.39,0.48,0.39,0.05,0.94,0.44,0.66,0.86,0.55,0.35,0.74,0.4,0.97,0.1,0.1,0.06
290,0.45,0.88,0.11,0.44,0.61,0.47,0.38,0.31,0.25,0.61,0.74,0.1,0.46,0.57,0.82,0.39,0.45
291,0.54,0.25,0.52,0.72,0.81,0.27,0.05,0.0,0.31,0.02,0.36,0.03,0.19,0.03,0.91,1.0,0.06
292,0.77,0.58,0.3,0.02,0.04,0.4,0.95,0.8,0.92,0.0,0.64,0.08,0.4,0.83,1.0,0.5,0.21
293,0.15,0.65,0.17,0.65,0.9,0.96,0.22,0.44,0.07,0.45,0.54,0.28,0.02,0.16,0.42,0.73,0.61
294,0.51,0.16,0.11,0.66,0.75,0.64,0.99,0.74,0.03,0.54,0.03,0.66,0.59,0.7,0.04,0.91,0.62
295,0.22,0.39,0.6,0.6,0.59,0.95,1.0,0.83,0.39,0.84,0.79,0.68,0.98,0.31,0.41,0.38,0.86
296,0.45,0.52,0.19,0.92,0.87,0.08,0.79,0.61,0.23,0.4,0.4,0.48,0.31,0.08,0.51,0.25,0.21
297,0.18,0.41,0.66,0.09,0.7,0.32,0.31,0.98,0.11,0.82,0.03,0.77,0.41,0.78,0.64,0.22,0.62
298,0.87,0.08,0.04,0.69,0.24,0.3,0.71,0.97,0.31,1.0,0.39,0.66,0.84,0.92,0.52,0.29,0.98
299,0.89,0.11,0.46,0.6,0.71,0.09,0.65,0.66,0.73,0.96,0.88,0.27,0.54,0.42,0.0,0.83,0.0
300,0.45,0.67,0.59,0.96,0.19,0.7,0.65,0.87,0.23,0.31,0.01,0.73,0.73,0.57,0.4,0.47,0.38
301,0.71,0.91,0.94,0.92,0.93,0.59,0.24,0.86,0.05,0.88,0.19,0.7,0.06,0.38,0.18,0.36,0.26
302,0.4,0.69,0.37,0.6,0.56,0.92,0.67,0.11,0.88,0.75,0.79,0.47,0.36,0.1,0.43,0.8,0.78
303,0.75,0.94,0.01,0.49,0.59,0.69,0.04,0.01,0.78,0.44,0.08,0.32,0.91,0.41,0.08,0.48,0.6
304,0.07,0.32,0.73,0.54,0.88,0.53,0.18,0.63,0.52,0.7,0.38,0.09,0.75,0.06,1.0,0.83,0.35
305,0.98,0.09,0.13,0.7,0.57,0.48,0.17,0.92,0.46,0.83,0.55,0.42,0.99,0.07,0.74,0.87,0.28
306,1.0,0.16,0.49,0.03,0.55,0.26,0.87,0.59,0.92,0.67,0.88,0.02,0.41,0.36,0.62,0.8,0.77
307,0.56,0.19,0.09,0.79,0.52,0.33,0.12,0.87,0.25,0.35,0.82,0.25,0.22,0.23,0.83,0.98,0.92
308,0.0,0.91,0.26,0.46,0.91,0.2,0.63,0.17,0.71,0.87,0.61,0.83,0.55,0.46,0.73,0.86,0.62
309,0.31,0.88,0.17,0.35,0.99,0.81,0.8,0.92,0.81,0.4,0.81,0.29,0.55,0.98,0.99,0.1,0.03
310,0.49,0.56,0.18,0.72,0.63,0.56,0.79,0.14,0.58,0.23,0.86,0.45,0.71,0.93,0.77,0.0,0.98
311,0.99,0.21,0.92,0.29,0.6,0.29,0.43,0.69,0.42,0.84,0.74,0.26,0.57,0.94,0.03,0.04,0.52
312,0.34,0.13,0.94,0.48,0.08,0.48,0.73,0.33,0.74,0.18,0.04,0.63,0.18,0.82,0.53,0.37,0.43
313,0.8,0.36,0.24,0.64,0.3,0.27,0.34,0.44,0.23,0.08,0.76,0.31,0.74,0.99,0.56,0.14,0.62
314,0.18,0.93,0.68,0.09,0.07,0.34,0.63,0.21,0.58,0.72,0.71,0.57,0.17,0.85,0.77,0.18,0.08
315,0.21,0.03,0.65,0.5,0.23,0.6,0.91,0.45,0.15,0.82,0.01,0.62,0.17,0.77,0.97,0.4,0.89
316,0.85,0.63,0.67,0.83,0.73,0.38,0.34,0.24,0.16,0.26,0.21,0.91,0.99,0.79,0.89,0.26,0.87
317,0.07,0.93,0.69,0.91,0.28,0.7,0.59,0.33,0.21,0.57,0.49,0.42,0.07,0.08,0.91,0.86,0.22
318,0.84,0.77,0.42,0.54,0.56,0.65,0.36,0.62,0.78,0.91,0.19,0.25,0.83,0.43,0.23,0.45,0.78
319,0.45,0.7,0.67,0.12,0.58,0.28,0.56,0.69,0.98,0.01,0.27,0.65,0.96,0.86,0.57,0.19,0.18
320,0.55,0.52,0.2,0.79,0.67,0.34,0.45,0.17,0.86,0.22,0.81,0.91,0.86,0.58,0.73,0.65,0.21
321,0.32,0.09,0.91,0.07,0.34,0.12,0.35,0.8,0.84,0.26,0.95,0.35,0.41,0.03,0.59,0.83,0.83
322,0.34,0.93,0.7,0.22,0.09,0.22,0.41,0.92,0.9,0.15,0.07,0.33,0.87,0.28,0.59,0.2,0.35
323,0.53,0.69,0.83,0.28,0.09,0.62,0.91,0.07,0.25,0.91,0.55,0.43,0.81,0.58,0.42,0.04,0.57
324,0.38,0.36,0.92,0.75,0.31,0.66,0.39,0.35,0.06,0.28,0.46,0.69,0.91,0.95,0.84,0.52,0.51
325,0.95,0.04,0.34,0.25,0.23,0.7,0.96,0.03,0.98,0.22,0.38,0.53,0.09,0.8,0.77,0.5,0.97
326,0.64,0.95,0.35,0.37,0.82,0.9,0.36,0.93,0.2,0.05,0.96,0.33,0.35,0.53,0.12,0.94,0.95
327,0.97,0.96,0.57,0.01,0.89,0.63,0.16,0.12,0.01,0.75,0.95,0.7,0.71,0.72,0.84,0.92,0.61
328,0.63,0.55,0.1,0.24,0.42,0.6,0.27,0.58,0.44,0.79,0.95,0.22,0.78,0.37,0.45,0.37,0.17
329,0.79,0.16,0.79,0.42,0.96,0.69,0.15,0.66,0.82,0.26,0.21,0.11,0.61,0.14,0.93,0.92,0.45
330,0.51,0.41,0.07,0.79,0.72,0.85,0.21,0.35,0.72,0.82,0.52,0.19,0.49,0.18,0.45,0.88,0.8
331,0.19,0.73,0.1,0.03,0.52,0.27,0.32,0.3,0.49,0.88,0.27,0.22,0.29,0.74,0.33,0.48,0.14
332,0.52,0.01,0.75,0.31,0.36,0.96,0.66,0.51,0.18,0.02,0.47,0.6,0.82,0.24,0.61,0.79,0.76
333,0.32,0.46,0.04,0.15,0.89,0.93,0.35,0.78,0.97,0.79,0.19,0.24,0.71,0.42,0.64,0.76,0.85
334,0.59,0.92,0.39,0.04,0.28,0.37,0.34,0.33,0.72,0.31,0.94,0.26,0.77,0.83,0.57,0.67,0.44
335,0.89,0.27,0.06,0.7,0.88,0.35,0.16,0.28,0.94,0.18,0.79,0.5,0.33,0.74,0.04,0.34,0.69
336,0.06,0.56,0.44,0.14,0.85,0.63,0.25,0.86,0.53,0.36,0.11,0.44,0.23,0.92,0.21,0.48,0.37
337,0.74,0.62,0.72,0.78,0.62,0.34,0.5,0.89,0.73,0.69,0.95,0.89,0.14,0.19,0.05,0.95,0.38
338,0.43,0.19,0.37,0.05,0.95,0.38,0.42,0.92,0.98,0.59,0.45,0.58,0.78,0.64,0.8,0.42,0.94
339,0.21,0.95,0.86,0.59,0.65,0.5,0.41,0.63,0.19,0.53,0.37,0.9,0.49,0.91,0.82,0.89,0.1
340,0.09,0.74,0.37,0.4,0.01,0.9,0.81,0.86,0.77,0.1,0.34,0.65,0.17,0.23,0.75,0.57,0.39
341,0.35,0.88,0.96,0.48,0.32,0.1,0.12,0.44,0.5,0.09,0.88,0.09,0.61,0.75,0.35,0.79,0.66
342,0.97,0.78,0.01,0.03,0.73,0.87,0.42,0.23,0.88,0.78,0.49,0.54,0.96,0.15,0.59,0.07,0.45
343,0.7,0.41,0.49,0.81,0.97,0.12,0.72,0.64,0.53,0.86,0.1,0.12,0.17,0.27,0.0,0.49,0.81
344,0.09,0.63,0.97,0.39,0.99,0.27,0.46,0.55,0.15,0.23,0.62,0.94,0.22,0.07,0.45,0.16,0.43
345,0.04,0.69,0.84,0.64,0.32,0.58,0.21,0.48,0.04,0.5,0.68,0.8,0.83,0.8,0.3,0.39,0.64
346,0.44,0.31,0.57,0.58,0.01,0.45,0.77,0.6,0.78,0.13,0.37,0.23,0.69,0.86,0.15,0.02,0.44
347,0.95,0.19,0.34,0.85,0.86,0.81,0.99,0.86,0.47,0.02,0.43,0.29,0.34,0.62,0.42,0.98,0.1
348,0.58,0.6,0.25,0.09,0.73,0.4,0.11,0.64,0.19,0.93,0.19,0.71,0.74,0.58,0.38,0.88,0.49
349,0.46,0.33,0.45,0.41,0.03,0.87,0.98,0.1,0.72,0.13,0.14,0.82,0.04,0.35,0.84,0.98,0.17
350,0.79,0.14,0.72,0.17,0.25,0.1,0.39,0.56,0.94,0.1,0.11,0.25,0.71,0.28,0.11,0.73,0.11
351,0.05,0.68,0.63,0.22,0.03,0.31,0.01,0.31,0.51,0.47,0.82,0.66,0.02,0.2,0.32,0.17,0.82
352,0.52,0.04,0.26,0.67,0.98,0.51,0.11,0.54,0.35,0.42,0.7,0.39,0.16,0.84,0.14,0.99,0.69
353,0.32,0.41,0.01,0.38,0.28,0.42,0.49,0.74,0.36,0.64,0.86,0.83,0.05,0.26,0.44,0.56,0.68
354,0.51,0.3,0.53,0.18,0.16,0.47,0.34,0.28,0.06,0.5,0.02,0.04,0.66,0.14,0.08,0.43,0.08
355,0.69,0.79,0.44,0.3,0.47,0.34,0.69,0.81,0.39,0.31,0.6,0.6,0.87,0.13,0.97,0.29,0.63
356,0.28,0.45,0.32,0.78,0.45,0.2,0.31,0.4,0.99,0.19,0.91,0.38,0.5,0.55,0.22,0.67,0.45
357,0.15,0.17,0.05,0.19,0.43,0.32,0.55,0.33,0.36,0.62,0.05,0.14,0.35,0.51,0.82,0.57,0.38
358,0.75,0.51,0.32,0.71,0.14,0.52,0.06,0.98,0.52,0.43,0.17,0.6,0.01,0.65,0.22,0.72,0.77
359,0.63,0.77,0.41,0.22,0.84,0.51,0.92,0.78,0.82,0.22,0.08,0.17,0.34,0.28,0.48,0.98,0.43
360,0.24,0.85,0.08,0.97,0.14,0.12,0.75,0.39,0.57,0.47,0.25,0.18,0.47,0.1,0.45,0.12,0.21
361,0.37,0.99,0.93,0.22,0.95,0.29,0.08,0.55,0.33,0.76,0.85,0.06,0.1,0.47,0.61,0.13,0.9
362,0.18,0.94,0.59,0.66,0.28,0.37,0.17,0.14,0.02,0.99,0.66,0.4,0.33,0.46,0.7,0.3,0.95
363,0.83,0.92,0.21,0.35,0.27,0.98,0.29,0.29,0.15,0.4,0.93,0.57,0.01,0.25,0.36,0.75,0.09
364,0.1,0.32,0.03,0.17,0.35,0.66,0.65,0.73,0.11,0.13,0.07,0.56,0.34,0.51,0.15,0.73,0.83
365,0.92,0.86,0.79,0.12,0.79,0.22,0.31,0.67,0.14,0.82,0.58,0.09,0.98,0.42,0.12,0.47,0.61
366,0.01,0.64,0.83,0.0,0.67,0.34,0.51,0.14,0.6,0.23,0.52,0.41,0.94,0.83,0.9,0.32,0.7
367,0.82,0.79,0.66,0.86,0.88,0.29,0.74,0.61,0.12,0.35,0.42,0.13,0.84,0.53,0.31,0.85,0.45
368,0.56,0.62,0.03,0.8,0.05,0.11,0.18,0.49,0.39,0.44,0.35,0.4,0.78,0.35,0.15,0.25,0.69
369,0.01,0.67,0.51,0.8,0.22,0.21,0.73,0.41,0.4,0.24,0.64,0.61,0.78,0.09,0.36,0.84,0.76
370,0.78,0.14,0.28,0.6,0.84,0.69,0.28,0.85,0.44,0.48,0.43,0.77,0.06,0.95,0.8,0.82,0.13
371,0.45,0.3,0.12,0.48,0.77,0.71,0.66,0.98,0.75,0.18,0.67,0.67,0.17,0.56,0.18,0.06,0.36
372,0.27,0.73,0.33,0.92,0.82,0.6,0.69,0.05,0.15,0.25,0.22,0.25,0.96,0.76,0.54,0.4,0.98
373,0.05,0.36,0.39,0.75,0.6,0.68,0.9,0.3,0.83,0.02,0.29,0.51,0.37,0.31,0.97,0.01,0.02
374,0.01,0.34,0.05,0.91,0.42,0.91,0.33,0.28,0.38,0.72,0.17,0.7,0.18,0.21,0.74,0.99,0.73
375,0.2,0.35,0.35,0.9,0.87,0.66,0.34,0.36,0.25,0.79,0.92,0.12,0.66,0.7,0.73,0.86,1.0
376,0.96,0.21,0.69,0.58,0.95,0.15,0.51,0.48,0.26,0.27,0.14,0.95,0.31,0.48,0.21,0.51,0.31
377,0.53,0.15,0.31,0.33,0.39,0.67,0.7,0.83,0.51,0.43,0.12,0.33,0.83,0.88,0.5,0.11,0.45
378,0.79,0.28,0.28,0.85,0.4,0.49,0.03,0.11,0.89,0.33,0.76,0.43,0.76,0.95,0.93,0.56,0.25
379,0.36,0.73,0.87,0.87,0.93,0.98,0.81,0.65,0.02,0.64,0.78,0.22,0.49,0.44,0.9,0.45,0.74
380,0.08,0.58,0.03,0.36,0.89,0.9,0.24,0.07,0.37,0.68,0.97,0.34,0.79,0.75,0.41,0.57,0.98
381,0.05,0.58,0.67,0.97,0.86,0.83,0.15,0.26,0.27,0.33,0.9,0.61,0.06,0.41,0.91,0.61,0.04
382,0.6,0.69,0.68,0.16,0.47,0.21,0.24,0.75,0.34,0.54,0.07,0.72,0.02,0.89,0.61,0.37,0.3
383,0.58,0.69,0.84,0.21,0.69,0.35,0.25,0.71,0.83,0.77,0.39,0.53,0.96,0.22,0.07,0.28,0.5
384,0.58,0.27,0.13,0.07,0.44,0.68,0.04,0.81,0.54,0.9,0.84,0.94,0.47,0.55,0.46,0.19,0.94
385,0.07,0.79,0.28,0.2,0.72,0.4,0.58,0.33,0.78,0.96,0.72,0.5,0.55,0.78,0.51,0.21,0.27
386,0.05,0.08,0.03,0.66,0.16,0.35,0.69,0.27,0.36,0.93,0.11,0.85,0.2,0.2,0.81,0.15,0.46
387,0.96,0.73,0.79,0.73,0.41,0.84,0.33,0.99,0.88,0.05,0.12,0.7,0.57,0.63,0.4,0.6,0.33
388,0.07,0.12,0.17,0.98,0.23,0.37,0.71,0.45,0.63,0.57,0.74,0.51,0.67,0.55,0.48,0.7,0.95
389,0.39,0.77,0.89,0.93,0.2,0.15,0.29,0.09,0.5,0.77,0.81,0.21,0.41,0.59,0.55,0.2,0.87
390,0.58,0.62,0.88,0.0,0.55,0.45,0.04,0.28,0.99,0.99,0.29,0.42,0.77,0.91,0.43,0.59,0.77
391,0.19,0.87,0.6,0.99,0.64,0.59,0.96,0.13,0.04,0.68,0.2,0.31,0.43,0.94,0.48,0.18,0.45
392,0.66,0.25,0.61,0.05,0.81,0.44,0.33,0.92,0.52,0.83,0.57,0.73,0.07,0.63,0.39,0.03,0.78
393,0.93,0.2,0.28,0.47,0.24,0.59,0.73,0.39,0.96,0.63,0.4,0.6,0.88,0.55,0.91,0.92,0.95
394,0.44,0.72,0.13,0.9,0.76,0.21,0.36,0.98,0.43,0.29,0.79,0.36,0.24,0.3,0.4,0.88,0.91
395,0.52,0.2,0.25,0.35,0.39,0.58,0.28,0.37,0.87,0.26,0.05,0.68,0.52,0.66,0.65,0.76,0.17
396,0.66,0.39,0.55,0.8,1.0,0.98,0.3,0.41,0.75,0.32,0.6,0.33,0.3,0.05,0.37,0.5,0.24
